"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","20","4","1","1","3.833413","0","13"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","20","23","1","1","23.241774","0","175"
"/AirSim/VehicleAdv/Materials/MasterGrid.MasterGrid","20","21","1","1","95.067131","0","140"
"/Game/StarterContent/Materials/M_Ground_Grass.M_Ground_Grass","20","21","1","1","92.259872","0","154"
"/AirSim/Models/QuadRotor1/Material_001.Material_001","20","12","2","1","54.377968","0","61"
"/AirSim/Models/QuadRotor1/Material_002.Material_002","20","12","1","1","52.988972","0","55"
"/AirSim/Weather/WeatherFX/Materials/M_VolumetricFogMain.M_VolumetricFogMain","20","72","1","1","123.421776","0","898"
"/AirSim/Weather/WeatherFX/Materials/M_VolumetricDust.M_VolumetricDust","20","72","1","1","122.720818","0","1094"
"/AirSim/Weather/WeatherFX/Materials/M_Leaf_master.M_Leaf_master","20","75","1","1","283.047882","0","1083"
"/AirSim/Weather/WeatherFX/Materials/M_RainDrop_Master.M_RainDrop_Master","20","110","1","1","279.461182","0","1835"
"/AirSim/Weather/WeatherFX/Materials/M_RainSplash_Master.M_RainSplash_Master","20","12","1","1","16.293827","0","76"
"/AirSim/Weather/WeatherFX/Materials/M_Ripple_Master.M_Ripple_Master","20","80","1","1","331.819946","0","1345"
"/AirSim/Weather/WeatherFX/Materials/M_SnowFlake_Master.M_SnowFlake_Master","20","110","1","1","282.363129","0","1797"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","20","58","2","1","164.403290","0","667"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","20","84","1","1","268.673737","0","1415"
"/AirSim/HUDAssets/DisparityMaterial.DisparityMaterial","20","4","1","1","3.683867","0","13"
"/AirSim/HUDAssets/DepthPlanarMaterial.DepthPlanarMaterial","20","4","1","1","4.174302","0","10"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","20","29","1","1","74.172707","0","291"
"/AirSim/HUDAssets/CameraSensorNoise.CameraSensorNoise","20","4","4","1","4.326732","0","4"
"/AirSim/VehicleAdv/SUV/AutomotiveMaterials/Materials/Glass/M_Glass.M_Glass","20","49","2","1","204.506027","0","550"
"/AirSim/Models/QuadRotor1/Material.Material","20","12","1","1","52.915958","0","82"
"/AirSim/Models/QuadRotor1/Material_004.Material_004","20","12","1","1","53.599819","0","63"
"/AirSim/VehicleAdv/SUV/AutomotiveMaterials/Materials/Metal/M_Metal.M_Metal","20","33","1","1","145.744354","0","274"
"/AirSim/VehicleAdv/SUV/AutomotiveMaterials/Materials/Rubber/M_TireRubber.M_TireRubber","20","33","1","1","147.913559","0","197"
"/AirSim/VehicleAdv/SUV/AutomotiveMaterials/Materials/Leather/M_Leather.M_Leather","20","33","1","1","146.927109","0","293"
"/AirSim/VehicleAdv/SUV/AutomotiveMaterials/Materials/CaliperPaint/M_Caliper_Flake.M_Caliper_Flake","20","33","1","1","147.664001","0","277"
"/AirSim/VehicleAdv/SUV/AutomotiveMaterials/Materials/Plastic/M_Plastic_Matte.M_Plastic_Matte","20","39","1","1","157.933792","0","419"
"/AirSim/VehicleAdv/SUV/AutomotiveMaterials/Materials/Reflector/M_Reflector.M_Reflector","20","33","2","1","144.976547","0","293"
"/AirSim/VehicleAdv/SUV/AutomotiveMaterials/Materials/CarPaint/M_Carpaint.M_Carpaint","20","33","2","1","156.698730","0","235"
"/AirSim/VehicleAdv/SUV/AutomotiveMaterials/Materials/Fabric/M_Fabric_ArchLiner.M_Fabric_ArchLiner","20","33","1","1","148.356293","0","236"
"","20","1","0","1","0.000000","7","0"
